h,w,output,outputtype,datatype,metric,n_h,n_w,n_output,n_outputtype,n_datatype,count
166,-1,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,44.0,166,0,Underweight,valid,String,2
122,-1,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,44.0,122,0,Underweight,valid,String,2
8,-1,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,44.0,8,0,Underweight,valid,String,4
7,-1,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,44.0,7,0,Underweight,valid,String,2
5,-1,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,44.0,5,0,Underweight,valid,String,3
3,-1,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,44.0,3,0,Underweight,valid,String,7
2,-1,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,44.0,2,0,Underweight,valid,String,2
1,-1,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,44.0,1,0,Underweight,valid,String,18
0,-1,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,41.0,0,0,Severely obese,valid,String,7
-1,4,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,41.0,0,4,Severely obese,valid,String,3
-1,3,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,41.0,0,3,Severely obese,valid,String,4
-1,1,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,41.0,0,1,Severely obese,valid,String,7
-1,0,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,41.0,0,0,Severely obese,valid,String,36
1496255400028522036,-1,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,44.0,1496255400028522036,0,Underweight,valid,String,1
409117049267,-1,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,44.0,409117049267,0,Underweight,valid,String,1
207254693,-1,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,44.0,207254693,0,Underweight,valid,String,1
195733338,-1,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,44.0,195733338,0,Underweight,valid,String,1
151306848,-1,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,44.0,151306848,0,Underweight,valid,String,1
117850372,-1,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,44.0,117850372,0,Underweight,valid,String,1
114517213,-1,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,44.0,114517213,0,Underweight,valid,String,1
85027315,-1,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,44.0,85027315,0,Underweight,valid,String,1
57172806,-1,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,44.0,57172806,0,Underweight,valid,String,1
36140068,-1,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,44.0,36140068,0,Underweight,valid,String,1
