h,w,output,outputtype,datatype,metric,n_h,n_w,n_output,n_outputtype,n_datatype,count
28,-1,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,44.0,28,0,Underweight,valid,String,2
23,-1,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,44.0,23,0,Underweight,valid,String,2
21,-1,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,44.0,21,0,Underweight,valid,String,2
15,-1,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,44.0,15,0,Underweight,valid,String,2
13,-1,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,44.0,13,0,Underweight,valid,String,2
8,-1,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,44.0,8,0,Underweight,valid,String,2
7,-1,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,44.0,7,0,Underweight,valid,String,4
5,-1,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,44.0,5,0,Underweight,valid,String,6
4,-1,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,44.0,4,0,Underweight,valid,String,4
3,-1,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,44.0,3,0,Underweight,valid,String,3
2,-1,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,44.0,2,0,Underweight,valid,String,6
1,-1,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,44.0,1,0,Underweight,valid,String,21
0,-1,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,41.0,0,0,Severely obese,valid,String,9
-1,15,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,41.0,0,15,Severely obese,valid,String,2
-1,14,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,41.0,0,14,Severely obese,valid,String,3
-1,6,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,41.0,0,6,Severely obese,valid,String,2
-1,5,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,41.0,0,5,Severely obese,valid,String,3
-1,4,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,41.0,0,4,Severely obese,valid,String,2
-1,3,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,41.0,0,3,Severely obese,valid,String,4
-1,1,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,41.0,0,1,Severely obese,valid,String,13
-1,0,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,41.0,0,0,Severely obese,valid,String,34
3326759580818738144,-1,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,44.0,3326759580818738144,0,Underweight,valid,String,1
130700801400867246,-1,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,44.0,130700801400867246,0,Underweight,valid,String,1
123953231348282546,-1,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,44.0,123953231348282546,0,Underweight,valid,String,1
45059252183068758,-1,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,44.0,45059252183068758,0,Underweight,valid,String,1
493681176824,-1,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,44.0,493681176824,0,Underweight,valid,String,1
137143504190,-1,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,44.0,137143504190,0,Underweight,valid,String,1
3785055915,-1,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,44.0,3785055915,0,Underweight,valid,String,1
1495128576,-1,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,44.0,1495128576,0,Underweight,valid,String,1
932139058,-1,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,44.0,932139058,0,Underweight,valid,String,1
5928431,-1,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,44.0,5928431,0,Underweight,valid,String,1
4840515,-1,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,44.0,4840515,0,Underweight,valid,String,1
3379248,-1,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,44.0,3379248,0,Underweight,valid,String,1
1495381,-1,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,44.0,1495381,0,Underweight,valid,String,1
1458347,-1,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,44.0,1458347,0,Underweight,valid,String,1
680644,-1,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,44.0,680644,0,Underweight,valid,String,1
93962,-1,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,44.0,93962,0,Underweight,valid,String,1
17480,-1,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,44.0,17480,0,Underweight,valid,String,1
13075,-1,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,44.0,13075,0,Underweight,valid,String,1
12812,-1,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,44.0,12812,0,Underweight,valid,String,1
8975,-1,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,44.0,8975,0,Underweight,valid,String,1
8173,-1,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,44.0,8173,0,Underweight,valid,String,1
7674,-1,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,44.0,7674,0,Underweight,valid,String,1
