h,w,output,outputtype,datatype,metric,n_h,n_w,n_output,n_outputtype,n_datatype,count
14,-1,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,44.0,14,0,Underweight,valid,String,2
7,-1,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,44.0,7,0,Underweight,valid,String,2
6,-1,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,44.0,6,0,Underweight,valid,String,2
4,-1,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,44.0,4,0,Underweight,valid,String,3
3,-1,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,44.0,3,0,Underweight,valid,String,5
2,-1,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,44.0,2,0,Underweight,valid,String,3
1,-1,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,44.0,1,0,Underweight,valid,String,19
0,-1,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,41.0,0,0,Severely obese,valid,String,6
-1,58,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,41.0,0,58,Severely obese,valid,String,2
-1,14,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,41.0,0,14,Severely obese,valid,String,2
-1,6,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,41.0,0,6,Severely obese,valid,String,2
-1,1,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,41.0,0,1,Severely obese,valid,String,11
-1,0,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,41.0,0,0,Severely obese,valid,String,38
4606280363393426,-1,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,44.0,4606280363393426,0,Underweight,valid,String,1
66972739816446,-1,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,44.0,66972739816446,0,Underweight,valid,String,1
101336846174,-1,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,44.0,101336846174,0,Underweight,valid,String,1
623406091,-1,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,44.0,623406091,0,Underweight,valid,String,1
62769790,-1,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,44.0,62769790,0,Underweight,valid,String,1
58274618,-1,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,44.0,58274618,0,Underweight,valid,String,1
7729200,-1,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,44.0,7729200,0,Underweight,valid,String,1
