h,w,output,outputtype,datatype,metric,n_h,n_w,n_output,n_outputtype,n_datatype,count
120,27,Normal,valid,String,5.0,121,27,Underweight,valid,String,2
31,1,Underweight,valid,String,5.0,31,2,Normal,valid,String,2
23,1,Normal,valid,String,8.0,23,2,Severely obese,valid,String,4
20,1,Obese,valid,String,9.0,20,2,Severely obese,valid,String,2
13,0,Underweight,valid,String,3.0,13,1,Severely obese,valid,String,2
1,0,Underweight,valid,String,3.0,1,1,Severely obese,valid,String,4
505547807,471542489913504,Normal,valid,String,5.0,505547808,471542489913504,Underweight,valid,String,1
591737,646032006,Normal,valid,String,5.0,591738,646032006,Underweight,valid,String,1
90876,15236906,Normal,valid,String,5.0,90877,15236906,Underweight,valid,String,1
35029,2263895,Normal,valid,String,5.0,35030,2263895,Underweight,valid,String,1
20253,756790,Normal,valid,String,5.0,20254,756790,Underweight,valid,String,1
10663,340594,Severely obese,valid,String,9.0,10664,340594,Obese,valid,String,1
7863,154284,Obese,valid,String,5.0,7864,154284,Overweight,valid,String,1
4977,45711,Normal,valid,String,5.0,4978,45711,Underweight,valid,String,1
4880,43946,Normal,valid,String,5.0,4881,43946,Underweight,valid,String,1
2168,8675,Normal,valid,String,5.0,2169,8675,Underweight,valid,String,1
1543,7139,Severely obese,valid,String,9.0,1544,7139,Obese,valid,String,1
328,199,Normal,valid,String,5.0,329,199,Underweight,valid,String,1
202,76,Normal,valid,String,5.0,203,76,Underweight,valid,String,1
201,122,Severely obese,valid,String,9.0,202,122,Obese,valid,String,1
159,47,Normal,valid,String,5.0,160,47,Underweight,valid,String,1
125,29,Normal,valid,String,5.0,126,29,Underweight,valid,String,1
123,46,Severely obese,valid,String,9.0,124,46,Obese,valid,String,1
95,17,Normal,valid,String,5.0,96,17,Underweight,valid,String,1
93,26,Severely obese,valid,String,9.0,94,26,Obese,valid,String,1
90,15,Normal,valid,String,5.0,91,15,Underweight,valid,String,1
87,23,Severely obese,valid,String,9.0,88,23,Obese,valid,String,1
83,13,Normal,valid,String,5.0,84,13,Underweight,valid,String,1
77,11,Normal,valid,String,5.0,78,11,Underweight,valid,String,1
65,13,Severely obese,valid,String,9.0,66,13,Obese,valid,String,1
61,7,Normal,valid,String,5.0,62,7,Underweight,valid,String,1
52,5,Normal,valid,String,5.0,53,5,Underweight,valid,String,1
50,4,Underweight,valid,String,5.0,50,5,Normal,valid,String,1
48,7,Severely obese,valid,String,9.0,49,7,Obese,valid,String,1
40,3,Normal,valid,String,5.0,41,3,Underweight,valid,String,1
36,3,Overweight,valid,String,4.0,37,3,Normal,valid,String,1
30,1,Underweight,valid,String,5.0,30,2,Normal,valid,String,1
