h,w,output,outputtype,datatype,metric,n_h,n_w,n_output,n_outputtype,n_datatype,count
11,-1,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,44.0,11,0,Underweight,valid,String,3
10,-1,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,44.0,10,0,Underweight,valid,String,2
7,-1,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,44.0,7,0,Underweight,valid,String,5
5,-1,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,44.0,5,0,Underweight,valid,String,3
3,-1,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,44.0,3,0,Underweight,valid,String,4
2,-1,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,44.0,2,0,Underweight,valid,String,3
1,-1,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,44.0,1,0,Underweight,valid,String,16
0,-1,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,41.0,0,0,Severely obese,valid,String,6
-1,55,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,41.0,0,55,Severely obese,valid,String,2
-1,9,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,41.0,0,9,Severely obese,valid,String,2
-1,8,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,41.0,0,8,Severely obese,valid,String,4
-1,7,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,41.0,0,7,Severely obese,valid,String,3
-1,6,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,41.0,0,6,Severely obese,valid,String,2
-1,5,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,41.0,0,5,Severely obese,valid,String,2
-1,3,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,41.0,0,3,Severely obese,valid,String,3
-1,2,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,41.0,0,2,Severely obese,valid,String,5
-1,1,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,41.0,0,1,Severely obese,valid,String,6
-1,0,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,41.0,0,0,Severely obese,valid,String,30
882343456,-1,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,44.0,882343456,0,Underweight,valid,String,1
25593717,-1,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,44.0,25593717,0,Underweight,valid,String,1
12083393,-1,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,44.0,12083393,0,Underweight,valid,String,1
1871365,-1,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,44.0,1871365,0,Underweight,valid,String,1
164952,-1,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,44.0,164952,0,Underweight,valid,String,1
30589,-1,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,44.0,30589,0,Underweight,valid,String,1
21162,-1,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,44.0,21162,0,Underweight,valid,String,1
9230,-1,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,44.0,9230,0,Underweight,valid,String,1
8681,-1,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,44.0,8681,0,Underweight,valid,String,1
8173,-1,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,44.0,8173,0,Underweight,valid,String,1
7044,-1,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,44.0,7044,0,Underweight,valid,String,1
3294,-1,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,44.0,3294,0,Underweight,valid,String,1
1868,-1,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,44.0,1868,0,Underweight,valid,String,1
1068,-1,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,44.0,1068,0,Underweight,valid,String,1
750,-1,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,44.0,750,0,Underweight,valid,String,1
659,-1,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,44.0,659,0,Underweight,valid,String,1
422,-1,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,44.0,422,0,Underweight,valid,String,1
392,-1,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,44.0,392,0,Underweight,valid,String,1
241,-1,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,44.0,241,0,Underweight,valid,String,1
103,-1,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,44.0,103,0,Underweight,valid,String,1
87,-1,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,44.0,87,0,Underweight,valid,String,1
73,-1,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,44.0,73,0,Underweight,valid,String,1
63,-1,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,44.0,63,0,Underweight,valid,String,1
58,-1,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,44.0,58,0,Underweight,valid,String,1
56,-1,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,44.0,56,0,Underweight,valid,String,1
45,-1,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,44.0,45,0,Underweight,valid,String,1
44,-1,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,44.0,44,0,Underweight,valid,String,1
38,-1,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,44.0,38,0,Underweight,valid,String,1
37,-1,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,44.0,37,0,Underweight,valid,String,1
33,-1,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,44.0,33,0,Underweight,valid,String,1
31,-1,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,44.0,31,0,Underweight,valid,String,1
22,-1,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,44.0,22,0,Underweight,valid,String,1
19,-1,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,44.0,19,0,Underweight,valid,String,1
17,-1,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,44.0,17,0,Underweight,valid,String,1
16,-1,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,44.0,16,0,Underweight,valid,String,1
12,-1,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,44.0,12,0,Underweight,valid,String,1
9,-1,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,44.0,9,0,Underweight,valid,String,1
4,-1,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,44.0,4,0,Underweight,valid,String,1
-1,5996282200908577420,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,41.0,0,5996282200908577420,Severely obese,valid,String,1
-1,107262292818,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,41.0,0,107262292818,Severely obese,valid,String,1
-1,1595972041,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,41.0,0,1595972041,Severely obese,valid,String,1
-1,362430280,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,41.0,0,362430280,Severely obese,valid,String,1
