x,y,output,outputtype,datatype,metric,n_x,n_y,n_output,n_outputtype,n_datatype,count
169942449704214174476403972392877673400,1,"DomainError(-1.004457607317278e38, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",error,DomainError,1.0,169942449704214174476403972392877673401,1,"DomainError(-1.0084322824423791e38, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",error,DomainError,1
169385351776941530631445906400382051268,3704889489,out,valid,String,131.0,169385351776941530631445906400382051269,3704889489,"DomainError(-1.2005188716975529e36, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",error,DomainError,1
169255707803975135134744393811841649660,-6344811503067781702,"DomainError(-1.6875641993325038e38, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",error,DomainError,131.0,169255707803975135134744393811841649661,-6344811503067781702,out,valid,String,1
169240350790545037722104165730296527828,-29298250794526940732216647577911004704,"DomainError(-1.6890274619794072e38, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",error,DomainError,131.0,169240350790545037722104165730296527829,-29298250794526940732216647577911004704,out,valid,String,1
169138416972052870765689212579016116509,2737360464,"DomainError(-4.1639026225011105e36, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",error,DomainError,1.0,169138416972052870765689212579016116510,2737360464,"DomainError(-6.169435599333833e36, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",error,DomainError,1
169011899692482698380447043421601729325,1626448567,"DomainError(-6.340115718031473e37, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",error,DomainError,1.0,169011899692482698380447043421601729326,1626448567,"DomainError(-6.5659724716287795e37, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",error,DomainError,1
169008093248031042356872872035412411022,92919919094127723768790812470159800065,out,valid,String,131.0,169008093248031042356872872035412411022,92919919094127723768790812470159800066,"DomainError(-1.1143718184302562e38, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",error,DomainError,1
168582540973478626025559360722423065842,1,"DomainError(-9.764219619739292e36, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",error,DomainError,1.0,168582540973478626025559360722423065843,1,"DomainError(-1.2881504593720503e37, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",error,DomainError,1
168370604072374159784238200628496007310,-22,out,valid,String,131.0,168370604072374159784238200628496007311,-22,"DomainError(-1.9021920907887266e36, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",error,DomainError,1
168340176498244662442137004792835434617,235,"DomainError(-1.058717885906799e38, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",error,DomainError,1.0,168340176498244662442137004792835434618,235,"DomainError(-1.0947380251512904e38, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",error,DomainError,1
168108142515471442823927579761334148760,23540,out,valid,String,131.0,168108142515471442823927579761334148761,23540,"DomainError(-1.9443846680966565e36, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",error,DomainError,1
167877459188589748394892130219359533254,-8226434700800165165,"DomainError(-1.6628988692683205e38, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",error,DomainError,131.0,167877459188589748394892130219359533255,-8226434700800165165,out,valid,String,1
167044339539028708015896109153457069635,73,"DomainError(-1.6679436738486085e38, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",error,DomainError,131.0,167044339539028708015896109153457069636,73,out,valid,String,1
167007429035672799816943140189029766810,-981790196,out,valid,String,131.0,167007429035672799816943140189029766811,-981790196,"DomainError(-1.1272671898095403e36, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",error,DomainError,1
166934593521882052453558607969357408711,1228296936,"DomainError(-1.32679109986924e38, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",error,DomainError,2.0,166934593521882052453558607969357408712,1228296936,"DomainError(-1.3909228986409835e38, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",error,DomainError,1
166902059345404187421858919379311383739,1667424765891579686,"DomainError(-1.6864274358397546e38, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",error,DomainError,131.0,166902059345404187421858919379311383740,1667424765891579686,out,valid,String,1
166320972476270386367126722512197697758,-3059724244428573374,"DomainError(-9.391560647533429e37, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",error,DomainError,1.0,166320972476270386367126722512197697759,-3059724244428573374,"DomainError(-1.0155602844373196e38, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",error,DomainError,1
165890247477069547898077845859098394396,102,out,valid,String,130.0,165890247477069547898077845859098394397,102,"DomainError(-5.007562087714433e36, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",error,DomainError,1
165769757514567684042411211280347953064,1968,out,valid,String,131.0,165769757514567684042411211280347953065,1968,"DomainError(-3.3591115674825495e36, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",error,DomainError,1
165611602061922821175449507494771847591,41,"DomainError(-1.6133367445949866e38, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",error,DomainError,131.0,165611602061922821175449507494771847592,41,out,valid,String,1
164872906279872650387063122828719272809,-22,"DomainError(-1.6417116799166446e38, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",error,DomainError,131.0,164872906279872650387063122828719272810,-22,out,valid,String,1
164429976556929585436299527188852672368,164,"DomainError(-3.0772652951265354e37, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",error,DomainError,1.0,164429976556929585436299527188852672369,164,"DomainError(-4.219506675834465e37, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",error,DomainError,1
164155344270881172439277439388200139743,885565451,"DomainError(-9.998289035098981e37, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",error,DomainError,1.0,164155344270881172439277439388200139744,885565451,"DomainError(-1.1195456873016592e38, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",error,DomainError,1
