x,y,output,outputtype,datatype,metric,n_x,n_y,n_output,n_outputtype,n_datatype,count
170116396847765083691838881437159754079,51684,"DomainError(-1.0521426594414392e38, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",error,DomainError,1.0,170116396847765083691838881437159754080,51684,"DomainError(-1.052638391695522e38, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",error,DomainError,1
169929759959578080507954748851588855666,42016,out,valid,String,131.0,169929759959578080507954748851588855667,42016,"DomainError(-1.5583761480704437e34, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",error,DomainError,1
169849424187801738746524442235912971030,0,out,valid,String,130.0,169849424187801738746524442235912971031,0,"DomainError(-2.385608960960947e34, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",error,DomainError,1
169846905852226817222253640508032866092,-62970621946842236858610184818707335439,"DomainError(-1.6481126474487527e38, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",error,DomainError,131.0,169846905852226817222253640508032866092,-62970621946842236858610184818707335438,out,valid,String,1
169187708125478985441789402550594529601,701402315,"DomainError(-1.3875834629296692e38, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",error,DomainError,1.0,169187708125478985441789402550594529602,701402315,"DomainError(-1.406652969629474e38, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",error,DomainError,1
168952589390935290195249447622798070346,-29172,out,valid,String,131.0,168952589390935290195249447622798070347,-29172,"DomainError(-2.3099336252831386e36, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",error,DomainError,1
168921523847546714188053485683561299409,18048363735627329503,"DomainError(-5.425727342221576e37, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",error,DomainError,1.0,168921523847546714188053485683561299410,18048363735627329503,"DomainError(-5.66965926480608e37, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",error,DomainError,1
168888934132991996377711311635402499113,4821784953943736916,"DomainError(-1.78367763258801e37, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",error,DomainError,1.0,168888934132991996377711311635402499114,4821784953943736916,"DomainError(-2.034127498083457e37, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",error,DomainError,1
168802732307421206809068004232508469888,1865,"DomainError(-6.283560548684593e37, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",error,DomainError,1.0,168802732307421206809068004232508469889,1865,"DomainError(-6.5512507792941975e37, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",error,DomainError,1
168688704562634127965040858403944284520,2049226288,out,valid,String,130.0,168688704562634127965040858403944284521,2049226288,"DomainError(-8.684094941926392e35, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",error,DomainError,1
